health region,type of expenditure,activity,contents,year,value
Totalt,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2005,3380
Totalt,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2020,6707
Totalt,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2021,7315
Totalt,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2005,NA
Totalt,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2020,NA
Totalt,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2021,NA
Totalt,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA
Totalt,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA
Totalt,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA
Totalt,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2005,974
Totalt,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2020,1851
Totalt,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2021,2022
Totalt,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2005,NA
Totalt,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2020,NA
Totalt,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2021,NA
Totalt,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA
Totalt,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA
Totalt,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA
Totalt,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2005,NA
Totalt,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2020,NA
Totalt,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2021,NA
Totalt,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2005,NA
Totalt,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2020,NA
Totalt,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2021,NA
Totalt,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA
Totalt,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA
Totalt,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA
Totalt,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2005,NA
Totalt,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2020,NA
Totalt,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2021,NA
Totalt,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2005,NA
Totalt,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2020,NA
Totalt,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2021,NA
Totalt,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA
Totalt,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA
Totalt,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA
Totalt,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2005,NA
Totalt,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2020,NA
Totalt,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2021,NA
Totalt,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2005,NA
Totalt,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2020,NA
Totalt,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2021,NA
Totalt,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA
Totalt,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA
Totalt,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA
