health region,type of service,contents,year,value
Helse Bergen HF,Total,Beds,2002,1520
Helse Bergen HF,Total,Beds,2020,1308
Helse Bergen HF,Total,Beds,2021,1301
Helse Bergen HF,Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Helse Bergen HF,Total,Out-patient consultations per 1 000 inhabitants,2020,NA
Helse Bergen HF,Total,Out-patient consultations per 1 000 inhabitants,2021,NA
Helse Bergen HF,Total,Day cases per 1 000 inhabitants,2002,NA
Helse Bergen HF,Total,Day cases per 1 000 inhabitants,2020,NA
Helse Bergen HF,Total,Day cases per 1 000 inhabitants,2021,NA
Helse Bergen HF,Somatic health care,Beds,2002,1135
Helse Bergen HF,Somatic health care,Beds,2020,931
Helse Bergen HF,Somatic health care,Beds,2021,934
Helse Bergen HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Helse Bergen HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,NA
Helse Bergen HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,NA
Helse Bergen HF,Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Helse Bergen HF,Somatic health care,Day cases per 1 000 inhabitants,2020,NA
Helse Bergen HF,Somatic health care,Day cases per 1 000 inhabitants,2021,NA
Helse Bergen HF,Drug treatment (TSB),Beds,2002,0
Helse Bergen HF,Drug treatment (TSB),Beds,2020,138
Helse Bergen HF,Drug treatment (TSB),Beds,2021,131
Helse Bergen HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Helse Bergen HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,NA
Helse Bergen HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,NA
Helse Bergen HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Helse Bergen HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,NA
Helse Bergen HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,NA
Helse Førde HF,Total,Beds,2002,497
Helse Førde HF,Total,Beds,2020,310
Helse Førde HF,Total,Beds,2021,312
Helse Førde HF,Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Helse Førde HF,Total,Out-patient consultations per 1 000 inhabitants,2020,NA
Helse Førde HF,Total,Out-patient consultations per 1 000 inhabitants,2021,NA
Helse Førde HF,Total,Day cases per 1 000 inhabitants,2002,NA
Helse Førde HF,Total,Day cases per 1 000 inhabitants,2020,NA
Helse Førde HF,Total,Day cases per 1 000 inhabitants,2021,NA
Helse Førde HF,Somatic health care,Beds,2002,394
Helse Førde HF,Somatic health care,Beds,2020,219
Helse Førde HF,Somatic health care,Beds,2021,220
Helse Førde HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Helse Førde HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,NA
Helse Førde HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,NA
Helse Førde HF,Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Helse Førde HF,Somatic health care,Day cases per 1 000 inhabitants,2020,NA
Helse Førde HF,Somatic health care,Day cases per 1 000 inhabitants,2021,NA
Helse Førde HF,Drug treatment (TSB),Beds,2002,0
Helse Førde HF,Drug treatment (TSB),Beds,2020,21
Helse Førde HF,Drug treatment (TSB),Beds,2021,20
Helse Førde HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Helse Førde HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,NA
Helse Førde HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,NA
Helse Førde HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Helse Førde HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,NA
Helse Førde HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,NA
Helse Stavanger HF,Total,Beds,2002,1088
Helse Stavanger HF,Total,Beds,2020,845
Helse Stavanger HF,Total,Beds,2021,852
Helse Stavanger HF,Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Helse Stavanger HF,Total,Out-patient consultations per 1 000 inhabitants,2020,NA
Helse Stavanger HF,Total,Out-patient consultations per 1 000 inhabitants,2021,NA
Helse Stavanger HF,Total,Day cases per 1 000 inhabitants,2002,NA
Helse Stavanger HF,Total,Day cases per 1 000 inhabitants,2020,NA
Helse Stavanger HF,Total,Day cases per 1 000 inhabitants,2021,NA
Helse Stavanger HF,Somatic health care,Beds,2002,737
Helse Stavanger HF,Somatic health care,Beds,2020,565
Helse Stavanger HF,Somatic health care,Beds,2021,571
