health_region,type_of_expenditure,activity,contents,year,value,type_of_service,occupation
Totalt,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2005,3380,NA,NA
Totalt,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2020,6707,NA,NA
Totalt,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2021,7315,NA,NA
Totalt,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Totalt,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Totalt,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Totalt,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Totalt,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Totalt,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Totalt,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2005,974,NA,NA
Totalt,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2020,1851,NA,NA
Totalt,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2021,2022,NA,NA
Totalt,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Totalt,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
Totalt,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
Totalt,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Totalt,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Totalt,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Totalt,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Totalt,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
Totalt,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
Totalt,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Totalt,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
Totalt,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
Totalt,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Totalt,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Totalt,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2005,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2020,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2021,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2005,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Totalt,Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Totalt,Other expenditures,Sum all functions,Current prices (NOK million),2005,907,NA,NA
