"","datasett"
"1","5 års overlevelse etter endetarmskreft"
"2","Fristbrudd for pasienter som har påbegynt behandling i psykisk helse for voksne"
"3","Fristbrudd for pasienter som står på venteliste i PHBU"
"4","Fristbrudd for pasienter som står på venteliste i somatisk helse"
"5","Fristbrudd for pasienter som står på venteliste i TSB"
"6","Fristbrudd for pasienter som står på venteliste i psykisk helse for voksne"
"7","Blodsukkerregulering ved type 1 diabetes hos voksne"
"8","Kompletthet i dokumentasjon og rapportering av henvisningsformalitet i psykisk helsevern for voksne"
"9","Antitrombotisk behandling etter hjerneinfarkt"
"10","Blodfortynnende behandling etter hjerneinfarkt hos pasienter med atrieflimmer"
"11","5 års overlevelse etter lungekreft"
"12","Trombolysebehandling av hjerneinfarkt innen 40 minutter"
"13","Blodtrykksbehandling etter hjerneslag."
"14","Vurdering og testing av svelgefunksjon etter hjerneslag."
"15","Lipidsenkende behandling etter hjerneinfarkt"
"16","Kransårerøntgen innen anbefalt tid ved hjerteinfarkt"
"17","Vellykket gjenopplivning etter hjertestans"
"18","Hjerte-lunge-redning før ambulansen kommer frem til en hjertestans"
"19","Hoftebrudd operert innen henholdsvis 24 timer og 48 timer"
"20","Bruk av spesifikke tilstandskoder i psykisk helsevern for barn og unge"
"21","Bruk av spesifikke tilstandskoder i tverrfaglig spesialisert rusbehandling"
"22","Bruk av spesifikke tilstandskoder i psykisk helsevern for voksne"
"23","Mottakere av habilitering og rehabilitering på institusjon med individuell plan"
"24","Igangsetting av fødsel"
"25","Postoperative infeksjoner etter gjennomført aortakoronar bypass kirurgi"
"26","Postoperative infeksjoner etter fjerning av galleblære (kolecystektomi)"
"27","5 års overlevelse etter tykktarmskreft"
"28","Postoperative infeksjoner etter innsetting av hemiprotese (hofte)"
"29","Postoperative infeksjoner etter utført keisersnitt"
"30","Postoperative infeksjoner etter innsetting av totalprotese (hofte)"
"31","Trombolysebehandling ved blodpropp i hjernen"
"32","Individuell plan for barnehabilitering"
"33","Mottakere av habilitering og rehabilitering i hjemmet med individuell plan"
"34","Individuell plan med diagnose schizofreni i psykisk helsevern for voksne (PHV)"
"35","Underekstremitetsamputasjoner blant pasienter med diabetes"
"36","Kommunale årsverk i psykisk helse- og rusarbeid"
"37","Korridorpasienter"
"38","Nye kreftpasienter i Pakkeforløp for alle 22 kreftformer"
"39","Kurativ behandling av lungekreft"
"40","Legemiddelgjennomgang hos beboere på sykehjem"
"41","Legetimer per beboer i sykehjem"
"42","Tilstand nyfødte barn"
"43","Antibiotikabehandling hos barn mellom 0-9 år"
"44","Dødelighet i nyfødtperioden"
"45","Avbrudd i tverrfaglig spesialisert rusbehandling (TSB)"
"46","Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager"
"47","Pakkeforløp for blærekreft"
"48","Barne- og ungdomsgarantien, andel vurdert innen 10 dager"
"49","Pakkeforløp for brystkreft"
"50","Pakkeforløp for eggstokkreft"
"51","Pakkeforløp for malignt melanom"
"52","Pakkeforløp for hode-halskreft"
"53","Pakkeforløp for livmorkreft"
"54","Pakkeforløp for lungekreft"
"55","Pakkeforløp for lymfom"
"56","Pakkeforløp for nyrekreft"
"57","Pakkeforløp for prostatakreft"
"58","Pakkeforløp for kreft i spiserør og magesekk"
"59","Pakkeforløp for tykk- og endetarmskreft"
"60","Pakkeforløp for akutt leukemi"
"61","Pakkeforløp for kreft hos barn"
"62","Pakkeforløp for bukspyttkjertelkreft"
"63","Pakkeforløp for Galleveiskreft"
"64","Pakkeforløp for hjernekreft"
"65","Pakkeforløp for primær leverkreft"
"66","Pakkeforløp for livmorhalskreft"
"67","Pakkeforløp for Kronisk lymfatisk leukemi"
"68","Pakkeforløp for metastaser med ukjent utgangspunkt"
"69","Pakkeforløp for myelomatose"
"70","Pakkeforløp for nevroendokrine svulster"
"71","Pakkeforløp for peniskreft"
"72","Pakkeforløp for sarkom"
"73","Pakkeforløp for kreft i skjoldbruskkjertelen"
"74","Pakkeforløp for testikkelkreft"
"75","Pasienterfaringer med somatiske sykehus"
"76","Tvangsmiddelbruk i psykisk helsevern for voksne"
"77","Reinnleggelse blant eldre pasienter 30 dager etter utskrivning fra sykehus"
"78","Sannsynlighet for re-innleggelse av eldre pasienter innen 30 dager etter utskrivning fra spesialisthelsetjeneste per kommune."
"79","Reinnleggelse innen 30 dager for eldre pasienter etter sykehusinnleggelse for astma/kronisk obstruktiv lungesykdom (KOLS)"
"80","Reinnleggelse innen 30 dager for eldre pasienter etter sykehusinnleggelse for brudd"
"81","Reinnleggelse innen 30 dager for eldre pasienter etter sykehusinnleggelse for hjertesvikt"
"82","Reinnleggelse innen 30 dager for eldre pasienter etter sykehusinnleggelse for lungebetennelse"
"83","Reinnleggelse innen 30 dager for eldre pasienter etter sykehusinnleggelse for hjerneslag"
"84","5 års relativ overlevelse etter høy-risiko prostatakreft"
"85","Tid fra AMK varsles til første ambulanse er på hendelsessted"
"86","Ristimulering under fødsel"
"87","Keisersnitt"
"88","Selvbestemt abort gjennomført medikamentelt eller kirurgisk"
"89","Svartid medisinsk nødnummer 113"
"90","Barnediabetes: Alvorlige akutte komplikasjoner"
"91","Sykefravær i kommunal helse- og omsorgstjenesten"
"92","Antall tannleger per 10.000 innbyggere"
"93","Antall tannlegespesialister per 10.000 innbyggere"
"94","Antall tannpleiere per 10.000 innbyggere"
"95","Tannhelsetilstand og kariesforekomst blant 12-åringer"
"96","Barnediabetes: Blodtrykk og LDL-kolesterol"
"97","Tannhelsetilstand og kariesforekomst blant 18-åringer"
"98","Tannhelsetilstand og kariesforekomst blant 5-åringer"
"99","Hjelp til reise til og fra arbeid og utdanning"
"100","Hjelp til reise til og fra organisasjonsarbeid, kultur og fritidsaktiviteter"
"101","Utsettelse av planlagte operasjoner"
"102","Barnediabetes: Nyrefunksjon"
"103","Ventetid på dagaktivitetstilbud"
"104","Ventetid (iverksettingstid) på hjemmetjenester"
"105","Ventetid på støttekontakt"
"106","Ventetid på sykehjemsplass"
"107","Gjennomsnittlig ventetid fra mottatt henvisning til helsehjelp påbegynnes i TSB"
"108","Gjennomsnittlig ventetid fra mottatt henvisning til helsehjelp påbegynnes i PHV"
"109","Brudd på vurderingsgarantien for pasienter i somatisk helse"
"110","Pakkeforløp for 24 organspesifikke kreftformer"
"111","Barnediabetes: Blodsukkerregulering"
"112","Beboere på sykehjem vurdert av lege siste 12 måneder"
"113","Oppdaterte ventetider i Velg behandlingssted"
"114","Foresattes erfaringer med poliklinikker i psykisk helsevern for barn og unge (BUP)"
"115","Behandlet i slagenhet etter akutt hjerneslag"
"116","Forløpstid for evaluering av tverrfaglig spesialisert rusbehandling (TSB) i poliklinikk"
"117","Forløpstid for utredning i psykisk helsevern for voksne"
"118","Medvirkning i egen behandling - Involvering i behandlingsplan i psykisk helsevern for barn og unge"
"119","Involvering i behandlingsplan i psykisk helsevern for voksne"
"120","Involvering i behandlingsplan i tverrfaglig spesialisert behandling"
"121","Forløpstid for evaluering av behandling i poliklinikk, psykisk helsevern voksne (PHV)"
"122","Forløpstid for evaluering av behandling i poliklinikk, psykisk helsevern barn og unge (PHBU)"
"123","Forløpstid for utredning i tverrfaglig spesialisert rusbehandling (TSB)"
"124","Forløpstid for utredning i psykisk helsevern barn og unge"
"125","Andel fastleger med spesialitet i allmennmedisin"
"126","Bistand til å delta i arbeid og  utdanning"
"127","Avtalevarighet på kommunenes fastleger"
"128","Lokaliseringsteknologi til personer med demens"
"129","Tid fra AMK varsles til ambulanse er på hendelsessted (Kommune-nivå)"
"130","Tid fra AMK varsles til ambulanse er på hendelsessted (AMK-område)"
"131","Varighet på lege-listeinnbygger-relasjon"
"132","Triagering av oppmøtte pasienter på legevakt"
"133","Tilgang til tolketjeneste på legevakt"
"134","Helsepersonell som har deltatt i samtrening"
"135","Bistand til å delta i kultur, organisasjonsarbeid og fritidsaktiviteter"
"136","Leger som har deltatt i samtrening"
"137","Pasienterfaringer med fastlege og fastlegekontor"
"138","Legemiddelbehandling i tråd med nasjonale retningslinjer etter operasjon for utposning på hovedpulsåren (aortaaneurisme)"
"139","Legemiddelbehandling i tråd med nasjonale retningslinjer etter operasjon for innsnevring av halspulsåren (carotisstenose)"
"140","Tid fra symptom til behandling av åreforkalkning i halspulsåren"
"141","30 dagers overlevelse etter sykehusinnleggelse ved hjerneslag"
"142","Legemiddelbehandling i tråd med nasjonale retningslinjer etter operasjon for trange blodårer til beina (åreforkalkning)"
"143","Forbruk av et utvalg bredspektrede antibiotika i norske sykehus"
"144","Brukererfaringer med fødsels- og barselomsorgen"
"145","Brukererfaringer med behandlingen av barnediabetes"
"146","Pasienterfaringer fra døgnpsykiatrien"
"147","Andel brukertilpassede plasser i enerom med bad/WC"
"148","Brystbevarende operasjon for kvinner diagnostisert med brystkreft"
"149","Dagaktivitetstilbud til personer med demens"
"150","30 dagers overlevelse etter sykehusinnleggelse ved hjerteinfarkt"
"151","Dagaktivitetstilbud hos personer med psykisk utviklingshemming"
"152","Gjennomføring av Diagnostisk pakkeforløp innen maksimal anbefalt forløpstid"
"153","Dødfødte barn"
"154","Dype og organ/hulromsinfeksjoner etter gjennomført aortakoronar bypass kirurgi"
"155","Dype og organ/hulromsinfeksjoner etter fjerning av galleblære (kolecystektomi)"
"156","Dype og organ/hulromsinfeksjoner etter innsetting av hemiprotese (hofte)"
"157","30 dagers overlevelse etter sykehusinnleggelse ved hoftebrudd"
"158","Dype og organ/hulromsinfeksjoner etter utført keisersnitt"
"159","Dype og organ/hulromsinfeksjoner etter innsetting av totalprotese (hofte)"
"160","Epikrisetid ved utskriving fra somatisk helsetjeneste"
"161","Epikrisetid ved utskrivning fra døgnbehandling i TSB"
"162","Epikrisetid ved utskrivning fra døgnbehandling i psykisk helse for voksne"
"163","Pasienterfaringer fra tverrfaglig spesialisert rusbehandling"
"164","Oppfølging av risiko for underernæring hos hjemmeboende"
"165","Oppfølging av risiko for underernæring hos beboere på institusjon"
"166","Fagutdanning i kommunale helse- og omsorgstjenester"
"167","Fastlegers vurdering av distriktspsykiatriske sentre"
"168","30 dagers overlevelse etter sykehusinnleggelse uansett årsak"
"169","Fødsler uten større inngrep og komplikasjoner"
"170","Fødselsrifter grad 3 og 4"
"171","Oppfølging av infeksjonsstatus 30 dager etter utført aortakoronar bypass"
"172","Oppfølging av infeksjonsstatus 30 dager etter innsetting av hemiprotese (hofte)"
"173","5 års overlevelse etter brystkreft"
"174","Oppfølging av infeksjonsstatus 30 dager etter keisersnitt"
"175","Oppfølging av infeksjonsstatus 30 dager etter fjerning av galleblære (kolecystektomi)"
"176","Oppfølging av infeksjonsstatus 30 dager etter inngrep i tykktarmen (koloninngrep)"
"177","Oppfølging av infeksjonsstatus 30 dager etter innsetting av totalprotese (hofte)"
"178","Forekomst av antibiotikabehandling"
"179","Fristbrudd for pasienter som har påbegynt helsehjelp i PHBU"
"180","Fristbrudd for pasienter som har påbegynt helsehjelp i somatisk helse"
"181","Fristbrudd for pasienter som har påbegynt helsehjelp i TSB"
