QualityIndicatorName,QualityIndicatorId,LocationId,LocationParentId,ParentName,LocationName,OrgNumber,Value,PeriodType,MeasureName,MeasureType,TimeFrom,TimeTo
Lokaliseringsteknologi til personer med demens,331,2033,1747,Trøndelag,Oppdal,50212020,0,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1943,1744,Vestfold og Telemark,Skien,38072020,2.575,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1753,1739,Rogaland,Sandnes,11082020,,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1944,1744,Vestfold og Telemark,Notodden,38082020,,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1945,1744,Vestfold og Telemark,Færder,38112020,15.714,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1946,1744,Vestfold og Telemark,Siljan,38122020,0,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1752,1739,Rogaland,Haugesund,11062020,0,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1947,1744,Vestfold og Telemark,Bamble,38132020,18.75,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1948,1744,Vestfold og Telemark,Kragerø,38142020,0,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1942,1744,Vestfold og Telemark,Porsgrunn,38062020,5.147,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1744,388,Norge,Vestfold og Telemark,382020,6.26,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1937,1744,Vestfold og Telemark,Horten,38012020,0,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1755,1739,Rogaland,Lund,11122020,0,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1938,1744,Vestfold og Telemark,Holmestrand,38022020,6.863,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1939,1744,Vestfold og Telemark,Tønsberg,38032020,2.262,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1940,1744,Vestfold og Telemark,Sandefjord,38042020,1.905,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1754,1739,Rogaland,Sokndal,11112020,0,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1941,1744,Vestfold og Telemark,Larvik,38052020,20,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1949,1744,Vestfold og Telemark,Drangedal,38152020,,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1957,1744,Vestfold og Telemark,Fyresdal,38232020,,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1958,1744,Vestfold og Telemark,Tokke,38242020,0,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1749,1738,"Oslo, fylke","Oslo, kommune",3012020,18.549,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1959,1744,Vestfold og Telemark,Vinje,38252020,0,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1745,388,Norge,Agder,422020,1.609,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1960,1745,Agder,Risør,42012020,0,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1738,388,Norge,"Oslo, fylke",32020,18.549,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1956,1744,Vestfold og Telemark,Nissedal,38222020,0,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1739,388,Norge,Rogaland,112020,2.196,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1751,1739,Rogaland,Stavanger,11032020,4.776,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1950,1744,Vestfold og Telemark,Nome,38162020,0,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1951,1744,Vestfold og Telemark,Midt-Telemark,38172020,0,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1952,1744,Vestfold og Telemark,Tinn,38182020,,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
Lokaliseringsteknologi til personer med demens,331,1750,1739,Rogaland,Eigersund,11012020,,Årlig,Andel med lokaliseringsteknologi,%,2020-01-01T00:00:00,2020-12-31T00:00:00
